Restaurant,Rating,Name,Cost,Cluster,Segment
SKYHY,3.37,SKYHY,1400.0,1,Premium/Best Quality
Sardarji's Chaats & More,3.25,Sardarji's Chaats & More,400.0,0,Overpriced/Below Expectation
Shah Ghouse Hotel & Restaurant,3.21,Shah Ghouse Hotel & Restaurant,800.0,0,Overpriced/Below Expectation
Shah Ghouse Spl Shawarma,3.43,Shah Ghouse Spl Shawarma,300.0,0,Overpriced/Below Expectation
Shanghai Chef 2,3.06,Shanghai Chef 2,800.0,0,Overpriced/Below Expectation
Shree Santosh Dhaba Family Restaurant,2.83,Shree Santosh Dhaba Family Restaurant,500.0,0,Overpriced/Below Expectation
Squeeze @ The Lime,3.815,Squeeze @ The Lime,650.0,0,Overpriced/Below Expectation
T Grill,3.17,T Grill,700.0,0,Overpriced/Below Expectation
Tandoori Food Works,3.27,Tandoori Food Works,500.0,0,Overpriced/Below Expectation
Tempteys,3.85,Tempteys,350.0,0,Overpriced/Below Expectation
The Chocolate Room,2.83,The Chocolate Room,600.0,0,Overpriced/Below Expectation
The Fisherman's Wharf,4.22,The Fisherman's Wharf,1500.0,2,Budget/Mixed
The Foodie Monster Kitchen,3.58,The Foodie Monster Kitchen,500.0,0,Overpriced/Below Expectation
The Glass Onion,3.83,The Glass Onion,1200.0,1,Premium/Best Quality
The Indi Grill,4.6,The Indi Grill,1500.0,2,Budget/Mixed
The Lal Street - Bar Exchange,3.45,The Lal Street - Bar Exchange,1300.0,1,Premium/Best Quality
The Old Madras Baking Company,3.6161616161616164,The Old Madras Baking Company,350.0,0,Overpriced/Below Expectation
The Tilt Bar Republic,3.845,The Tilt Bar Republic,1500.0,1,Premium/Best Quality
Tiki Shack,3.48,Tiki Shack,1000.0,1,Premium/Best Quality
Triptify,3.55,Triptify,400.0,0,Overpriced/Below Expectation
Udipi's Upahar,4.03,Udipi's Upahar,500.0,0,Overpriced/Below Expectation
Ulavacharu,3.225,Ulavacharu,1400.0,1,Premium/Best Quality
Urban Asia - Kitchen & Bar,3.65,Urban Asia - Kitchen & Bar,1100.0,1,Premium/Best Quality
Yum Yum Tree - The Arabian Food Court,3.56,Yum Yum Tree - The Arabian Food Court,1200.0,1,Premium/Best Quality
Zega - Sheraton Hyderabad Hotel,4.45,Zega - Sheraton Hyderabad Hotel,1750.0,2,Budget/Mixed
Zing's Northeast Kitchen,3.65,Zing's Northeast Kitchen,550.0,0,Overpriced/Below Expectation
eat.fit,3.2,eat.fit,500.0,0,Overpriced/Below Expectation
